case,date,fatalities,injured,total_victims,location.1,age_of_shooter,weapons_obtained_legally,race,gender,latitude,longitude,type,year,quarter,half,month_name,day_of_week,decade,city,state,Coordinate-N,Coordinate-W
Nashville religious school shooting,3/27/23,6,1,6,School,28,Unknown,Unclear,Female (transgender),36.1626638,-86.7816016,Mass,2023,1,1,March,Monday,2020's,Nashville,Tennessee,35.5174913,-86.5804473
Michigan State University shooting,2/13/23,3,5,8,School,43,Yes,Black,Male,42.7369792,-84.4838654,Mass,2023,1,1,February,Monday,2020's,East Lansing,Michigan,44.3148443,-85.6023643
Half Moon Bay spree shooting,1/23/23,7,1,8,Workplace,67,Unknown,Asian,Male,37.4635519,-122.4285862,Spree,2023,1,1,January,Monday,2020's,Half Moon Bay,California,36.778261,-119.4179324
LA dance studio mass shooting,1/21/23,11,10,21,Other,72,Unknown,Asian,Male,34.0625106,-118.1228476,Mass,2023,1,1,January,Saturday,2020's,Monterey Park,California,36.778261,-119.4179324
Virginia Walmart shooting,11/22/22,6,6,12,Workplace,31,Unknown,Black,Male,36.7682088,-76.2874927,Mass,2022,4,2,November,Tuesday,2020's,Chesapeake,Virginia,37.4315734,-78.6568942
LGBTQ club shooting,11/19/22,5,25,30,Other,22,Unknown,White,Male,38.8338816,-104.8213634,Mass,2022,4,2,November,Saturday,2020's,Colorado Springs,Colorado,39.5500507,-105.7820674
University of Virginia shooting,11/13/22,3,2,5,School,22,Yes,Black,Male,38.0293059,-78.4766781,Mass,2022,4,2,November,Sunday,2020's,Charlottesville,Virginia,37.4315734,-78.6568942
Raleigh spree shooting,10/13/22,5,2,7,Other,15,Unknown,White,Male,35.8093575,-78.5462098,Spree,2022,4,2,October,Thursday,2020's,Hedingham,North Carolina,35.7595731,-79.0192997
Greenwood Park Mall shooting,7/17/22,3,2,5,Workplace,20,Yes,White,Male,39.6136578,-86.1066526,Mass,2022,3,2,July,Sunday,2020's,Greenwood,Indiana,40.2671941,-86.1349019
Highland Park July 4 parade shooting,7/4/22,7,46,53,Other,21,Yes,White,Male,42.1816918,-87.8003437,Mass,2022,3,2,July,Monday,2020's,Highland Park,Illinois,40.6331249,-89.3985283
Church potluck dinner shooting,6/16/22,3,0,3,Religious,70,Yes,White,Male,33.5185892,-86.8103567,Mass,2022,2,1,June,Thursday,2020's,Birmingham,Alabama,32.3182314,-86.902298
Concrete company shooting,6/9/22,3,1,4,Workplace,23,Unknown,Unclear,Male,39.6548186,-77.5727681,Mass,2022,2,1,June,Thursday,2020's,Smithsburg,Maryland,39.0457549,-76.6412712
Tulsa medical center shooting,6/1/22,4,6,10,Workplace,45,Yes,Black,Male,36.1539816,-95.992775,Mass,2022,2,1,June,Wednesday,2020's,Tulsa,Oklahoma,35.0077519,-97.092877
Robb Elementary School massacre,5/24/22,21,17,38,School,18,Yes,Latino,Male,29.2096836,-99.7861679,Mass,2022,2,1,May,Tuesday,2020's,Uvalde,Texas,31.9685988,-99.9018131
Buffalo supermarket massacre,5/14/22,10,3,13,Workplace,18,Yes,White,Male,42.8864468,-78.8783689,Mass,2022,2,1,May,Saturday,2020's,Buffalo,New York,40.7127753,-74.0059728
Sacramento County church shooting,2/28/22,4,0,4,Religious,0,Unknown,Unclear,Male,38.60111019,-121.4189659,Mass,2022,1,1,February,Monday,2020's,Sacramento,California,36.778261,-119.4179324
Oxford High School shooting,11/30/21,4,7,11,School,15,Unknown,Unclear,Male,42.84410784,-83.25992831,Mass,2021,4,2,November,Tuesday,2020's,Oxford,Michigan,44.3148443,-85.6023643
San Jose VTA shooting,5/26/21,9,0,9,Workplace,57,Unknown,Unclear,Male,37.316097,-121.888533,Mass,2021,2,1,May,Wednesday,2020's,San Jose,California,36.778261,-119.4179324
FedEx warehouse shooting,4/15/21,8,7,15,Workplace,19,Yes,White,Male,39.68663,-86.32313,Mass,2021,2,1,April,Thursday,2020's,Indianapolis,Indiana,40.2671941,-86.1349019
Orange office complex shooting,3/31/21,4,1,5,Workplace,44,Unknown,Unclear,Male,33.83542,-117.85379,Mass,2021,1,1,March,Wednesday,2020's,Orange,California,36.778261,-119.4179324
Boulder supermarket shooting,3/22/21,10,0,10,Workplace,21,Yes,Unclear,Male,39.986961,-105.251168,Mass,2021,1,1,March,Monday,2020's,Boulder,Colorado,39.5500507,-105.7820674
Atlanta massage parlor shootings,3/16/21,8,1,9,Workplace,21,Unknown,White,Male,34.111653,-84.580376,Spree,2021,1,1,March,Tuesday,2020's,Atlanta,Georgia,42.315407,43.356892
Springfield convenience store shooting,3/16/20,4,0,4,Workplace,31,Yes,Unclear,Male,37.210432,-93.23686,Mass,2020,1,1,March,Monday,2020's,Springfield,Missouri,37.9642529,-91.8318334
Molson Coors shooting,2/26/20,5,0,5,Workplace,51,Unknown,Black,Male,43.044511,-87.962537,Mass,2020,1,1,February,Wednesday,2020's,Milwaukee,Wisconsin,43.7844397,-88.7878678
Jersey City kosher market shooting,12/10/19,4,3,7,Other,0,Unknown,Black,Male & Female,40.707363,-74.083609,Spree,2019,4,2,December,Tuesday,2010's,Jersey City,New Jersey,40.0583238,-74.4056612
Pensacola Naval base shooting,12/6/19,3,8,11,Military,21,Unknown,Unclear,Male,30.364707,-87.288567,Mass,2019,4,2,December,Friday,2010's,Pensacola,Florida,27.6648274,-81.5157535
Odessa-Midland shooting spree,8/31/19,7,25,32,Other,36,Unknown,White,Male,31.925974,-102.2796,Spree,2019,3,2,August,Saturday,2010's,Odessa,Texas,31.9685988,-99.9018131
Dayton entertainment district shooting,8/4/19,9,27,36,Other,24,Yes,White,Male,39.757312,-84.184947,Mass,2019,3,2,August,Sunday,2010's,Dayton,Ohio,40.4172871,-82.907123
El Paso Walmart mass shooting,8/3/19,22,26,48,Workplace,21,Yes,White,Male,31.771068,-106.375655,Mass,2019,3,2,August,Saturday,2010's,El Paso,Texas,31.9685988,-99.9018131
Gilroy garlic festival shooting,7/28/19,3,12,15,Other,19,Yes,Unclear,Male,36.997191,-121.584819,Mass,2019,3,2,July,Sunday,2010's,Gilroy,California,36.778261,-119.4179324
Virginia Beach municipal building shooting,5/31/19,12,4,16,Workplace,40,Yes,Black,Male,36.75442,-76.060378,Mass,2019,2,1,May,Friday,2010's,Virginia Beach,Virginia,37.4315734,-78.6568942
Harry Pratt Co. warehouse shooting,2/15/19,5,6,11,Workplace,45,No,Black,Male,41.753725,-88.331057,Mass,2019,1,1,February,Friday,2010's,Aurora,Illinois,40.6331249,-89.3985283
Pennsylvania hotel bar shooting,1/24/19,3,1,4,Other,21,Yes,White,Male,40.785142,-77.839411,Spree,2019,1,1,January,Thursday,2010's,State College,Pennsylvania,41.2033216,-77.1945247
SunTrust bank shooting,1/23/19,5,0,5,Workplace,21,Yes,White,Male,27.471043,-81.45847,Mass,2019,1,1,January,Wednesday,2010's,Sebring,Florida,27.6648274,-81.5157535
Mercy Hospital shooting,11/19/18,3,0,3,Workplace,32,Unknown,Latino,Male,41.847667,-87.622009,Mass,2018,4,2,November,Monday,2010's,Chicago,Illinois,40.6331249,-89.3985283
Thousand Oaks nightclub shooting,11/7/18,12,22,34,Other,28,Yes,Unclear,Male,34.176946,-118.874793,Mass,2018,4,2,November,Wednesday,2010's,Thousand Oaks,California,36.778261,-119.4179324
Tree of Life synagogue shooting,10/27/18,11,6,17,Religious,46,Yes,White,Male,40.443898,-79.921398,Mass,2018,4,2,October,Saturday,2010's,Pittsburgh,Pennsylvania,41.2033216,-77.1945247
Rite Aid warehouse shooting,9/20/18,3,3,6,Workplace,26,Yes,Black,Female,39.455658,-76.208485,Mass,2018,3,2,September,Thursday,2010's,Perryman,Maryland,39.0457549,-76.6412712
T&T Trucking shooting,9/12/18,5,0,5,Workplace,54,Yes,Latino,Male,35.349388,-118.916335,Spree,2018,3,2,September,Wednesday,2010's,Bakersfield,California,36.778261,-119.4179324
Fifth Third Center shooting,9/6/18,3,2,5,Workplace,29,Yes,Latino,Male,39.101981,-84.511782,Mass,2018,3,2,September,Thursday,2010's,Cincinnati,Ohio,40.4172871,-82.907123
Capital Gazette shooting,6/28/18,5,2,7,Workplace,38,Yes,White,Male,38.994548,-76.543657,Mass,2018,2,1,June,Thursday,2010's,Annapolis,Maryland,39.0457549,-76.6412712
Santa Fe High School shooting,5/18/18,10,13,23,School,17,TBD,White,Male,29.392825,-95.141972,Mass,2018,2,1,May,Friday,2010's,Santa Fe,Texas,31.9685988,-99.9018131
Waffle House shooting,4/22/18,4,4,8,Other,29,Yes,White,Male,36.052521,-86.616944,Mass,2018,2,1,April,Sunday,2010's,Nashville,Tennessee,35.5174913,-86.5804473
Yountville veterans home shooting,3/9/18,3,0,3,Workplace,36,Yes,Asian,Male,38.392496,-122.366528,Mass,2018,1,1,March,Friday,2010's,Yountville,California,36.778261,-119.4179324
Marjory Stoneman Douglas High School shooting,2/14/18,17,17,34,School,19,Yes,White,Male,26.30483,-80.269511,Mass,2018,1,1,February,Wednesday,2010's,Parkland,Florida,27.6648274,-81.5157535
Pennsylvania carwash shooting,1/28/18,4,1,5,Other,28,TBD,White,Male,40.052151,-79.389166,Mass,2018,1,1,January,Sunday,2010's,Melcroft,Pennsylvania,41.2033216,-77.1945247
Rancho Tehama shooting spree,11/14/17,5,10,15,Other,44,No,White,Male,40.018759,-122.393089,Spree,2017,4,2,November,Tuesday,2010's,Rancho Tehama,California,36.778261,-119.4179324
